Date/time	 9  Mode Anode PS V	10  Mode Anode PS I	11  Oil Temperature	12  Water In Temperature	13  Collector Temperature	15  Body Temperature	21  Magnet Current	25  Vac Ion	31  Filament V	32  Filament I	41  Klystron Average P	42  Reflected Power	52  High Voltage Kv	53  High Voltage Amp	55  Beam Amps	57  HV Phase A I	58  HV Phase B I	59  HV Phase C I	
11:41:32-01.09.00	0,94	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,00	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
11:51:32-01.09.00	0,10	0,54	29,33	18,46	17,08	18,22	0,05	0,12	10,11	48,82	2,20	6,74	0,15	0,01	0,07	0,09	0,09	0,09	
12:01:32-01.09.00	0,17	0,27	29,13	19,78	18,40	19,49	30,25	0,07	10,15	48,49	2,38	10,38	0,15	0,02	0,06	0,09	0,11	0,09	
12:11:32-01.09.00	8,00	31,94	29,42	20,95	24,97	21,62	30,23	0,40	10,03	49,04	105,59	485,60	90,98	2,55	4,65	102,38	94,30	86,79	
12:21:33-01.09.00	8,01	32,21	29,50	21,79	25,94	22,32	30,31	0,35	10,02	48,95	100,22	426,71	90,16	2,51	4,57	99,52	91,53	85,78	
12:31:33-01.09.00	7,99	32,48	29,76	22,30	26,57	22,87	30,30	0,38	10,01	48,92	107,73	401,81	91,72	2,60	4,74	104,42	96,54	88,71	
12:41:33-01.09.00	8,02	32,11	30,41	22,66	26,98	23,41	30,32	0,41	10,03	48,90	105,90	381,58	91,47	2,59	4,71	103,64	96,20	88,87	
12:51:33-01.09.00	7,99	33,55	30,58	23,46	29,03	23,74	30,28	0,38	10,04	49,07	111,15	399,48	93,33	2,67	4,87	108,17	100,46	92,54	
13:01:33-01.09.00	7,97	13,29	30,88	20,81	21,97	21,01	30,23	0,26	10,11	48,64	2,75	12,71	58,73	1,24	2,28	40,99	37,83	35,89	
13:11:33-01.09.00	8,00	30,87	31,05	21,25	25,29	21,71	30,30	0,36	10,07	49,14	99,91	363,94	90,26	2,50	4,58	98,88	90,93	85,56	
13:21:33-01.09.00	8,00	33,89	31,40	22,41	27,19	23,04	30,28	0,57	10,06	49,17	120,79	473,66	94,84	2,75	5,00	112,29	104,55	95,90	
13:31:33-01.09.00	8,01	34,37	31,56	23,17	28,09	23,85	30,29	0,53	10,07	49,23	118,47	389,36	94,87	2,74	4,99	112,45	104,78	95,88	
13:41:33-01.09.00	8,00	3,49	31,88	19,50	18,23	19,59	30,33	0,18	10,13	48,29	1,34	13,23	19,29	0,17	0,31	17,85	16,69	15,29	
13:51:33-01.09.00	7,98	3,22	31,92	17,84	16,56	17,74	30,30	0,13	10,15	48,48	2,14	6,74	19,28	0,16	0,31	17,76	16,62	15,31	
14:01:33-01.09.00	7,99	33,37	31,97	21,41	25,92	21,84	30,30	0,42	10,10	49,22	115,42	437,09	93,78	2,68	4,90	106,96	99,31	92,97	
14:11:33-01.09.00	8,00	33,26	32,20	22,90	27,70	23,59	30,24	0,39	10,10	49,25	114,75	435,01	93,87	2,70	4,92	110,32	102,20	93,77	
14:21:33-01.09.00	7,99	17,38	32,29	21,94	22,12	22,35	30,31	0,78	9,95	48,20	23,62	92,86	65,34	1,48	2,72	50,77	45,75	44,68	
10:30:13-05.09.00	0,95	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,00	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
10:40:15-05.09.00	0,11	0,39	24,42	18,88	17,64	18,69	30,18	0,25	9,94	48,45	2,99	7,00	0,16	0,02	0,06	0,09	0,11	0,09	
10:50:15-05.09.00	8,00	3,10	24,77	17,96	16,95	17,87	30,22	0,20	9,92	47,77	2,08	6,48	18,70	0,14	0,29	17,12	15,68	15,04	
11:00:15-05.09.00	8,01	8,73	25,23	17,05	18,30	18,45	30,18	0,13	10,06	48,67	2,87	8,82	47,46	0,70	0,13	27,37	25,04	24,93	
16:40:54-05.09.00	0,92	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,00	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
16:50:54-05.09.00	0,16	0,47	23,31	16,52	15,24	16,25	30,21	0,06	10,10	49,20	2,99	8,30	0,21	0,03	0,07	0,09	0,09	0,09	
17:00:54-05.09.00	8,01	18,84	24,01	17,39	18,71	17,16	30,22	0,23	10,06	48,90	33,87	135,15	69,24	1,61	2,96	54,57	51,04	49,14	
17:10:54-05.09.00	8,00	37,30	24,50	21,26	26,41	21,95	30,24	0,82	9,99	49,23	143,86	796,10	96,50	2,93	5,34	127,56	118,17	109,57	
17:20:55-05.09.00	6,16	2,95	25,27	18,89	17,94	19,45	30,25	0,82	10,04	48,27	2,26	10,12	15,48	0,20	0,32	18,01	16,87	16,73	
17:30:55-05.09.00	8,05	7,93	20,73	17,65	18,36	19,70	30,28	0,70	10,04	48,34	2,75	15,05	41,73	0,76	1,36	27,19	25,73	24,95	
17:40:55-05.09.00	8,01	35,42	30,27	22,02	25,66	19,22	30,27	0,81	10,00	49,19	2,38	7,00	96,36	2,80	5,10	110,16	104,14	100,57	
17:50:55-05.09.00	8,03	12,75	15,60	16,90	19,08	19,51	30,31	0,92	10,02	48,51	11,72	79,38	57,65	1,29	2,30	41,11	38,73	37,81	
08:05:16-06.09.00	0,91	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,00	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
11:10:17-06.09.00	0,93	1,73	0,02	10,01	10,01	10,01	0,01	0,00	0,00	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
11:20:18-06.09.00	0,17	0,49	25,05	16,79	15,56	16,54	30,26	0,18	10,18	49,48	2,69	10,38	0,19	0,02	0,06	0,09	0,09	0,09	
11:30:18-06.09.00	8,01	3,27	25,35	15,89	14,82	16,06	30,24	0,16	10,11	48,62	2,32	8,30	19,31	0,16	0,31	17,37	16,25	15,29	
11:40:18-06.09.00	7,98	3,24	25,45	15,90	14,82	15,74	30,28	0,14	10,15	48,57	2,08	8,30	19,28	0,16	0,30	17,49	16,30	15,27	
11:50:18-06.09.00	8,02	25,13	25,78	18,25	21,33	18,33	30,30	0,36	10,11	49,08	60,30	319,58	79,88	2,06	3,77	71,11	66,44	64,02	
12:00:18-06.09.00	8,01	25,50	26,07	20,50	23,69	20,84	30,26	0,43	10,05	48,98	58,65	317,50	80,28	2,08	3,79	72,05	67,36	64,59	
12:10:18-06.09.00	7,98	26,94	26,31	21,27	26,16	21,49	30,27	0,36	10,05	48,99	2,87	7,78	83,26	2,20	4,00	78,32	72,53	70,06	
12:20:18-06.09.00	8,01	7,65	26,65	19,61	19,37	19,75	30,27	0,26	10,08	48,44	2,26	9,08	41,08	0,67	1,25	26,62	25,20	24,47	
12:30:18-06.09.00	8,00	29,64	27,06	20,26	25,82	20,18	30,25	0,31	10,04	49,13	2,20	9,08	87,40	2,37	4,33	88,19	81,50	78,53	
12:40:18-06.09.00	8,02	28,77	27,19	22,37	28,13	22,54	30,30	0,30	10,03	49,10	2,14	10,89	87,48	2,37	4,35	88,44	82,15	78,53	
12:50:18-06.09.00	8,00	24,69	27,64	21,84	24,68	22,26	30,30	0,32	10,06	49,05	59,51	259,66	79,10	2,02	3,69	70,04	65,44	63,15	
13:00:18-06.09.00	8,00	24,23	27,97	21,45	24,29	21,91	30,25	0,31	10,09	49,10	58,72	244,35	79,23	2,02	3,71	70,27	65,64	62,99	
13:10:18-06.09.00	7,97	24,57	28,39	21,34	24,36	21,84	30,32	0,32	10,07	49,06	58,17	233,46	79,26	2,03	3,71	70,38	65,53	62,99	
13:20:18-06.09.00	8,04	24,82	28,61	21,41	24,78	21,85	30,34	0,31	10,07	49,07	43,52	208,30	79,22	2,03	3,70	70,66	65,64	62,85	
13:30:18-06.09.00	8,01	24,70	29,08	21,53	24,83	21,91	30,36	0,29	10,05	49,00	42,60	220,49	79,17	2,03	3,70	70,18	65,35	62,87	
13:40:18-06.09.00	8,02	27,97	29,39	21,93	26,13	22,25	30,35	0,30	10,09	49,22	65,86	327,36	85,40	2,29	4,17	83,18	77,20	73,88	
13:50:19-06.09.00	8,04	25,30	29,47	22,06	25,31	22,65	30,36	0,28	10,10	49,11	62,68	271,07	80,51	2,08	3,80	72,60	67,82	65,23	
14:00:19-06.09.00	7,98	25,23	29,85	21,83	24,99	22,37	30,36	0,29	10,10	49,18	62,19	268,22	80,53	2,09	3,82	72,74	67,86	65,09	
