Date/time	4  High Voltage phase A	5  High Voltage phase B	6  High Voltage phase C	9  Mode Anode PS Voltage	10  Mode Anode PS Current	11  Oil Temperature	12  Water In Temperature	13  Collector A Temperature	15  Body A Temperature	17  Collector B Temperature	19  Body B Temperature	21  A1 Magnet Current	22  A2 Magnet Current	23  A3 Magnet Current	24  A4 Magnet Current	25  Vac Ion A	26  B1 Magnet Current	27  B2 Magnet Current	28  B3 Magnet Current	29  B4 Magnet Current	30  Vac Ion B	31  Kly A Filament Voltage	32  Kly A Filament Current	33  Kly B Filament Voltage	34  Kly B Filament Current	41  Kly A Average Power	43  Kly B Average Power	53  HV DC Voltage	54  HV DC Current	
08:06:53-22.05.00	4259,76	4266,01	4257,09	0,06	1,46	0,18	0,10	0,19	0,19	0,09	0,05	0,04	0,03	0,05	0,07	3,09	0,05	0,01	0,09	0,08	0,73	0,04	0,04	0,11	0,06	0,22	0,22	0,55	0,04	
08:16:54-22.05.00	4260,66	4243,71	4253,52	0,10	1,87	33,18	24,65	27,95	21,52	25,42	22,48	22,58	26,01	14,09	19,91	2,89	24,73	29,04	14,46	18,22	2,93	24,62	23,04	22,13	23,77	0,06	0,94	0,51	0,04	
08:26:54-22.05.00	4266,90	4248,17	4263,33	0,07	1,87	33,17	27,23	30,34	23,96	27,88	24,76	22,58	25,98	14,11	19,98	3,21	24,69	29,03	14,46	18,12	5,25	24,64	22,98	22,13	23,51	0,11	0,81	0,72	0,04	
08:36:54-22.05.00	4273,14	4259,76	4274,03	0,05	2,45	33,69	29,37	32,26	26,01	30,12	26,79	22,58	26,06	14,12	19,95	3,25	24,69	29,06	14,46	18,17	6,84	24,61	22,90	22,11	23,47	0,21	0,38	0,60	0,03	
08:46:54-22.05.00	4245,50	4222,31	4239,25	22,85	2,76	34,08	32,43	35,27	27,92	33,37	28,78	22,57	25,99	14,10	19,92	3,24	24,68	29,11	14,45	18,16	4,27	24,63	22,99	22,16	23,52	0,92	1,51	42,34	1,28	
08:56:54-22.05.00	4231,23	4208,94	4227,66	22,83	4,77	34,45	22,27	26,37	23,91	23,78	24,41	22,60	26,06	14,12	19,99	3,54	24,73	29,44	14,49	18,25	3,66	24,60	23,05	22,12	23,56	1,59	2,52	46,59	1,70	
09:06:54-22.05.00	4248,17	4234,80	4241,04	22,82	4,97	34,29	23,09	27,15	21,43	24,59	22,19	22,59	26,06	14,14	19,95	3,20	24,69	29,42	14,44	18,14	5,55	24,58	22,95	22,09	23,48	1,86	2,43	46,49	1,71	
09:16:54-22.05.00	4246,39	4219,64	4234,80	22,87	5,31	34,42	22,23	26,65	21,23	24,09	21,88	22,53	26,12	14,11	19,95	3,10	24,77	29,38	14,41	18,20	4,03	24,64	23,00	22,14	23,50	4,94	3,68	50,39	2,10	
09:26:54-22.05.00	4231,23	4210,72	4224,09	22,79	7,32	34,38	22,71	27,26	22,19	24,86	22,66	22,52	26,06	14,10	19,97	3,19	24,69	29,40	14,42	18,20	4,58	24,60	22,94	22,10	23,39	21,77	16,55	61,24	3,40	
09:36:54-22.05.00	4218,74	4215,18	4213,39	22,83	7,25	34,38	23,72	28,58	22,34	26,23	23,07	22,54	26,00	14,11	19,99	3,14	24,73	29,43	14,42	18,21	3,78	24,55	22,93	22,08	23,41	30,47	25,99	65,39	3,97	
09:46:54-22.05.00	4200,02	4175,05	4194,67	22,82	7,46	34,23	22,92	27,94	23,01	25,53	23,39	22,56	26,08	14,14	19,89	3,14	24,72	29,45	14,46	18,16	5,55	24,60	22,98	22,08	23,39	29,17	24,66	64,99	3,91	
09:56:54-22.05.00	4219,64	4159,00	4189,32	22,83	7,12	34,34	23,93	28,71	22,78	26,37	23,46	22,57	26,07	14,14	19,99	2,97	24,72	29,42	14,49	18,20	5,49	24,57	22,93	22,07	23,41	29,87	25,14	65,17	3,92	
10:06:54-22.05.00	4212,50	4200,02	4230,34	22,83	6,98	34,16	22,86	27,89	23,13	25,43	23,59	22,56	26,07	14,09	19,94	2,85	24,74	29,42	14,40	18,18	4,39	24,54	22,92	22,10	23,44	30,71	26,06	65,65	3,99	
10:16:54-22.05.00	4296,32	4241,93	4272,25	0,21	2,11	34,57	24,00	28,64	22,83	26,25	23,33	22,55	26,05	14,15	19,93	3,30	24,72	29,42	14,48	18,24	2,87	24,57	22,96	22,06	23,44	0,10	0,62	0,39	0,02	
10:26:54-22.05.00	4234,80	4198,23	4237,47	22,85	7,39	34,55	21,70	26,32	20,73	23,89	21,39	22,60	26,12	14,12	19,95	3,26	24,69	29,45	14,39	18,22	3,72	24,57	22,95	22,05	23,40	34,20	29,31	66,92	4,20	
10:36:55-22.05.00	4274,92	4252,63	4279,38	0,38	2,25	34,30	23,89	28,69	23,49	26,65	24,05	22,55	26,13	14,16	19,95	2,98	24,77	29,42	14,37	18,17	5,74	24,63	22,96	22,09	23,39	0,32	0,71	0,68	0,03	
10:46:55-22.05.00	4274,92	4262,44	4266,90	0,09	1,91	34,41	21,31	25,00	20,70	22,36	21,51	22,57	26,06	14,14	20,00	3,58	24,71	29,40	14,47	18,14	4,76	24,54	22,90	22,04	23,37	0,11	0,87	0,30	0,05	
10:56:55-22.05.00	4185,75	4178,62	4194,67	22,83	8,10	34,47	23,80	28,48	21,31	26,21	22,04	22,58	26,06	14,11	19,97	3,06	24,66	29,39	14,45	18,19	5,55	24,53	22,92	22,07	23,46	53,37	46,66	73,29	5,08	
11:06:55-22.05.00	4230,34	4174,16	4210,72	22,83	7,76	34,41	24,24	29,11	24,08	26,70	24,65	22,63	26,12	14,11	19,94	3,21	24,67	29,41	14,47	18,12	4,94	24,56	22,94	22,09	23,42	52,99	47,45	73,28	5,06	
11:16:55-22.05.00	4258,87	4248,17	4276,71	0,11	2,59	34,37	21,89	25,60	22,84	22,90	23,47	22,62	26,10	14,13	19,95	3,35	24,70	29,43	14,44	18,25	2,32	24,53	22,96	22,07	23,46	0,13	0,86	0,43	0,04	
11:26:56-22.05.00	4200,02	4166,13	4195,56	22,81	7,69	34,11	22,89	27,45	21,34	25,01	22,16	22,58	26,09	14,10	19,96	3,13	24,69	29,36	14,44	18,21	4,94	24,52	22,87	22,05	23,43	59,59	51,38	74,96	5,28	
11:36:56-22.05.00	4209,83	4191,10	4178,62	22,81	8,68	34,36	24,38	29,37	24,33	27,23	24,80	22,64	26,12	14,13	19,94	2,89	24,68	29,42	14,36	18,19	7,63	24,56	22,98	22,11	23,50	59,83	52,70	75,06	5,28	
11:46:56-22.05.00	4233,01	4205,37	4219,64	22,84	8,75	34,32	24,50	29,33	24,42	26,98	24,94	22,52	26,11	14,12	19,94	3,03	24,65	29,40	14,46	18,19	5,74	24,58	22,95	22,10	23,50	61,00	53,76	75,16	5,33	
11:56:56-22.05.00	4235,69	4191,99	4224,99	22,87	7,52	34,30	24,44	29,41	24,48	27,05	25,09	22,60	26,03	14,15	19,92	3,06	24,71	29,39	14,44	18,19	3,05	24,60	23,00	22,09	23,49	60,64	52,99	75,21	5,32	
12:06:56-22.05.00	4234,80	4190,21	4216,96	22,84	8,14	34,38	24,35	29,38	24,54	27,23	25,16	22,54	26,09	14,17	19,97	2,94	24,66	29,46	14,46	18,21	4,58	24,59	22,95	22,07	23,45	60,10	52,54	75,05	5,32	
12:16:56-22.05.00	4230,34	4194,67	4221,42	22,81	8,58	34,69	24,47	29,56	24,58	27,30	25,23	22,63	26,05	14,11	19,96	3,15	24,66	29,43	14,46	18,14	4,27	24,58	22,96	22,07	23,50	60,37	52,78	75,08	5,31	
12:26:56-22.05.00	4227,66	4227,66	4222,31	22,84	8,10	34,84	24,63	29,68	24,88	27,50	25,37	22,56	26,08	14,17	19,98	2,95	24,70	29,40	14,42	18,18	3,17	24,59	22,98	22,10	23,50	60,78	52,94	75,25	5,34	
12:36:56-22.05.00	4251,74	4203,58	4248,17	22,85	8,72	34,97	24,85	29,80	24,90	27,69	25,45	22,59	26,12	14,17	19,91	3,16	24,72	29,46	14,46	18,20	3,85	24,58	23,01	22,08	23,46	60,94	53,64	75,33	5,35	
12:46:56-22.05.00	4230,34	4210,72	4233,01	22,84	8,72	34,91	24,97	29,88	25,13	27,68	25,72	22,59	26,08	14,12	19,99	2,99	24,71	29,40	14,44	18,23	4,94	24,59	22,96	22,11	23,53	61,08	53,43	75,25	5,34	
12:56:56-22.05.00	4237,47	4180,40	4227,66	22,82	8,55	35,14	24,99	30,04	25,17	27,86	25,66	22,53	26,12	14,15	19,92	2,93	24,67	29,44	14,42	18,19	3,78	24,59	22,97	22,11	23,45	60,87	53,10	75,25	5,35	
06:24:20-23.05.00	4305,24	4276,71	4297,22	0,07	1,87	0,20	0,18	0,18	0,33	0,06	1,00	0,08	0,07	0,05	0,03	2,73	0,07	0,01	0,11	0,05	4,94	0,05	0,06	0,10	0,05	0,46	0,21	0,49	0,03	
06:34:21-23.05.00	4301,67	4290,97	4302,57	0,08	1,46	30,38	19,96	23,66	17,85	20,80	18,46	22,49	25,81	14,10	19,87	3,02	24,62	29,47	14,39	18,18	3,30	24,76	23,44	22,25	23,93	0,08	0,30	0,50	0,04	
