Date/time	4  High Voltage phase A	5  High Voltage phase B	6  High Voltage phase C	9  Mode Anode PS Voltage	10  Mode Anode PS Current	11  Oil Temperature	12  Water In Temperature	13  Collector A Temperature	15  Body A Temperature	17  Collector B Temperature	19  Body B Temperature	21  A1 Magnet Current	22  A2 Magnet Current	23  A3 Magnet Current	24  A4 Magnet Current	25  Vac Ion A	26  B1 Magnet Current	27  B2 Magnet Current	28  B3 Magnet Current	29  B4 Magnet Current	30  Vac Ion B	31  Kly A Filament Voltage	32  Kly A Filament Current	33  Kly B Filament Voltage	34  Kly B Filament Current	41  Kly A Average Power	43  Kly B Average Power	53  HV DC Voltage	54  HV DC Current	97  Pump Frequency	98  Pump Pressure Out	99  Pump Pressure In	
01.08.02 09:06:27	4254,41	4214,29	4249,96	0,01	0,54	0,02	0,02	0,02	0,02	0,02	0,02	0,01	0,01	0,01	0,01	0,36	0,01	0,01	0,01	0,01	0,13	0,02	0,02	0,12	0,03	0,06	0,06	0,05	0,00	37,10	3,00	-0,50	
01.08.02 09:16:27	4203,58	4160,78	4192,88	0,04	95,53	30,68	25,99	28,89	21,47	26,58	22,28	22,69	25,76	13,91	20,05	1,61	24,61	29,29	14,17	18,48	0,45	24,68	23,43	22,21	23,88	0,06	0,76	0,07	0,01	37,00	3,10	-0,50	
01.08.02 09:26:28	4197,34	4156,32	4193,78	0,01	95,53	31,62	31,76	34,08	27,33	32,24	27,94	22,70	25,81	13,89	20,07	1,54	24,59	29,28	14,15	18,51	2,42	24,68	23,25	22,17	23,65	0,06	0,56	0,07	0,01	37,05	3,25	-0,30	
01.08.02 09:36:29	4198,23	4142,95	4187,53	0,07	95,60	32,64	35,57	37,54	30,96	35,82	31,32	22,71	25,85	13,93	20,04	1,66	24,58	29,25	14,18	18,52	1,19	24,65	23,09	22,16	23,60	0,06	0,62	0,06	0,01	37,20	3,30	-0,25	
01.08.02 09:46:30	4198,23	4150,08	4194,67	0,02	95,87	33,56	32,54	35,06	33,18	32,84	33,46	22,73	25,85	13,91	20,08	1,55	24,63	29,27	14,19	18,51	3,46	24,58	23,50	18,54	21,31	0,06	0,76	0,13	0,01	37,10	3,17	-0,22	
01.08.02 09:56:30	4196,45	4148,30	4188,43	0,07	95,46	33,94	26,13	29,26	25,37	26,85	25,51	22,74	25,88	13,98	20,07	1,68	24,62	29,28	14,17	18,52	4,21	24,64	23,03	22,15	23,53	0,06	0,76	0,10	0,01	37,47	3,10	-0,43	
01.08.02 10:06:31	4200,02	4144,73	4189,32	0,01	95,33	34,24	24,07	27,49	23,24	25,02	23,57	22,73	25,91	13,94	20,07	1,49	24,65	29,28	14,17	18,51	2,80	24,60	22,96	22,11	23,50	0,06	0,63	0,10	0,01	37,60	3,03	-0,45	
01.08.02 10:16:32	4187,53	4150,97	4193,78	0,06	95,50	34,39	23,87	27,20	22,54	24,71	22,93	22,75	25,92	13,96	20,03	1,64	24,63	29,29	14,20	18,50	1,70	24,60	23,00	22,11	23,52	0,06	0,76	0,14	0,01	37,53	3,10	-0,30	
01.08.02 10:26:32	4125,11	4084,99	4115,30	22,90	94,92	34,48	25,18	29,38	23,58	26,94	24,01	22,74	25,93	14,06	20,05	1,68	24,62	29,29	14,17	18,53	1,34	24,57	22,97	22,10	23,51	37,77	50,45	72,86	5,48	37,30	3,10	-0,40	
01.08.02 10:36:32	4194,67	4146,51	4182,18	0,01	95,23	34,52	25,95	29,12	24,42	26,70	24,77	22,76	25,94	14,02	20,05	1,76	24,67	29,29	14,20	18,49	2,45	24,56	22,92	22,10	23,46	0,06	0,70	0,32	0,01	37,70	3,10	-0,40	
01.08.02 10:46:32	4172,37	4117,98	4165,24	2,71	95,05	34,86	27,98	31,82	26,11	29,50	26,54	22,74	25,95	14,03	20,05	1,84	24,66	29,28	14,20	18,51	1,28	24,59	22,98	22,09	23,46	0,06	0,86	11,54	0,48	37,30	3,20	-0,30	
01.08.02 10:56:32	4197,34	4140,27	4175,05	0,01	95,12	35,10	26,46	29,61	25,48	27,20	25,71	22,75	25,97	14,04	20,05	1,71	24,63	29,28	14,17	18,52	2,55	24,58	22,94	22,09	23,45	0,06	0,67	0,34	0,01	37,47	3,12	-0,40	
01.08.02 11:06:32	4150,08	4106,39	4129,57	22,91	94,82	35,26	27,73	31,92	26,10	29,46	26,34	22,76	25,95	14,07	20,05	1,78	24,64	29,28	14,19	18,51	4,84	24,55	22,94	22,09	23,45	10,66	18,39	60,99	3,48	37,28	3,12	-0,20	
01.08.02 11:16:33	4131,36	4085,88	4123,33	22,81	94,82	35,55	29,91	34,49	28,74	32,26	29,02	22,76	25,97	14,09	20,05	1,57	24,63	29,29	14,22	18,49	3,02	24,59	22,97	22,08	23,46	26,10	38,61	70,29	4,81	37,53	3,20	-0,12	
01.08.02 11:26:33	4126,01	4078,74	4109,95	22,83	95,09	35,85	31,51	36,29	30,49	34,09	30,79	22,77	25,97	14,11	20,05	1,58	24,64	29,30	14,23	18,53	4,64	24,56	22,95	22,06	23,43	37,26	51,29	75,07	5,53	37,28	3,20	-0,25	
